Type,Account #,URL,"Frequency [1, 2, 3]",Invoice date,Due date,Next payment,Days,Date Paid,State flag,Status [4],Current bill / Estimate,Annual Expenses,Monthly Expenses,Annual Revenue,Monthly Revenue
👩‍🦰 Wife's food payment,1567,https://shorturl.at/6IJYE,Monthly,30-08-25,01-09-25,Nope,2,01-09-25,-1,Good,"2,000.00","24,000.00","2,000.00",,
🙋🏻‍♂️ Me food payment allocation,,,Monthly,01-09-25,01-10-25,Nope,0,,0,Neutral,300.00,"3,600.00",300.00,,
💳 Credit card payment #1,5969,,Monthly,28-08-25,14-09-25,Nope,4,,0,Neutral,800.00,"9,600.00",800.00,,
💳 Credit card payment #2,4341,,Monthly,28-08-25,14-09-25,Nope,4,,0,Neutral,600.00,"7,200.00",600.00,,
📶 Digi,5744,https://www.digi.com.my/customer/account/login,Monthly,08-08-25,07-09-25,Nope,24,,0,Neutral,29.68,356.16,29.68,,
🛜 Time internet,1219,https://tinyurl.com/5b5udzkw,Monthly,21-08-25,20-09-25,Nope,11,,0,Neutral,104.94,"1,259.28",104.94,,
🔦 TNB,2502,https://www.mytnb.com.my/,Monthly,21-08-25,21-09-25,Nope,11,,0,Neutral,60.00,720.00,60.00,,
🏥 AIA Insurance payment,60A02,https://www.aia.com.my/en/my-aia/insurance/portal/dashboard-and-statements/my-payments/transaction-history.html,Annually,20-01-26,20-02-26,Nope,-141,,-1,Good,"2,400.00","2,400.00",200.00,,
🪪 Social security,,https://www.perkeso.gov.my/en/?id=71,Monthly,30-09-25,30-10-25,Nope,-29,,-1,Good,"2,500.00",,,"30,000.00","2,500.00"
🏥 GE Insurance return,TPD 239,https://econnect-my.greateasternlife.com/econnect-new/#/login,Annually,30-11-25,31-12-25,Nope,-90,,-1,Good,262.50,,,"3,150.00",262.50
,,,,,,,,,,,,,,,
🏠 GCR condo,,,,,,,,,,,,,,,
"👨‍🔧 - Maintenance, Sinking fund, Additional sinking fund",113,https://www.condo-master.com/User/SignUp,Quarterly,01-10-25,15-10-25,Nope,-30,,-1,Good,923.64,"3,694.56",307.88,,
🚽 - Sewerage (IWK),8919,https://customerportal.iwk.com.my/,Semiannually,31-12-25,02-08-26,Nope,-121,,-1,Good,72.00,144.00,12.00,,
🏛️- Cukai Taksiran,5648,https://ebayar.penang.gov.my/,Semiannually,01-01-26,02-04-26,Nope,-122,,-1,Good,303.85,607.70,50.64,,
🏛️- Cukai Tanah,1570,https://pgland.penang.gov.my/,Annually,01-01-26,31-05-26,Nope,-122,,-1,Good,23.00,23.00,1.92,,
"🏠 Impian Ria, Alma residence",,,,,,,,,0,,,,,,
🚽 - Sewerage (IWK),4267,https://customerportal.iwk.com.my/,Semiannually,01-06-25,31-12-25,01-01-26,92,28-08-25,-1,Good,72.00,144.00,12.00,,
🏛️- Cukai Taksiran,9570,https://aspire.mbsp.gov.my/assessment-taxes/search,Semiannually,01-06-25,31-08-25,01-01-26,92,14-08-25,-1,Good,255.75,511.50,42.63,,
🏛️- Cukai Tanah,9934,https://pgland.penang.gov.my/,Annually,01-01-26,31-05-26,Nope,-122,,-1,Good,40.00,40.00,3.33,,
💵 - Monthly income,,,Monthly,,,,,,,,,,,,
🏠 SBC condo,,,,,,,,,,,,,,,
"👨‍🔧 - Maintenance, Sinking fund, Water bill, Airbnb fee",19,https://www.gpropsystems.com/landing/suasana-bukit-ceylon,Quarterly,01-10-25,15-10-25,Nope,-30,,-1,Good,"1,743.64","6,974.56",581.21,,
🏛️- Cukai Taksiran,8579,https://dbayar.dbkl.gov.my/,Semiannually,01-01-26,02-03-26,Nope,-122,,-1,Good,"1,176.00","2,352.00",196.00,,
